Increments,Abscissas in mm,Ordinates in mm,Grey values
0,3.650,3.678,46649
1,3.657,3.672,48724
2,3.663,3.665,50543
3,3.670,3.659,51959
4,3.676,3.653,52917
5,3.683,3.646,53478
6,3.689,3.640,53761
7,3.696,3.633,53864
8,3.702,3.627,53823
9,3.709,3.621,53628
10,3.715,3.615,53232
11,3.722,3.608,52562
12,3.728,3.602,51524
13,3.735,3.596,50020
14,3.741,3.590,48014
15,3.748,3.584,45557
16,3.754,3.578,42789
17,3.761,3.572,39896
18,3.767,3.566,38461
19,3.774,3.560,35713
20,3.780,3.554,33218
21,3.787,3.548,31054
22,3.793,3.542,29265
23,3.800,3.536,27874
24,3.806,3.530,26870
25,3.813,3.524,26211
26,3.819,3.518,25826
27,3.826,3.512,25644
28,3.832,3.507,25610
29,3.839,3.501,25708
30,3.845,3.495,25888
31,3.852,3.490,26253
32,3.858,3.484,26865
33,3.865,3.478,27777
34,3.871,3.473,29018
35,3.878,3.467,30592
36,3.884,3.461,32479
37,3.891,3.456,33887
38,3.897,3.450,36241
39,3.904,3.445,38777
40,3.910,3.439,41376
41,3.917,3.434,43877
42,3.923,3.428,46105
43,3.930,3.423,47556
44,3.936,3.418,49063
45,3.943,3.412,50090
46,3.949,3.407,50728
47,3.956,3.402,51096
48,3.962,3.396,51298
49,3.969,3.391,51535
50,3.975,3.386,51589
51,3.982,3.381,51606
52,3.988,3.375,51610
53,3.995,3.370,51610
54,4.002,3.365,51740
55,4.008,3.360,51720
56,4.015,3.355,51662
57,4.021,3.350,51542
58,4.028,3.345,51581
59,4.034,3.340,51294
60,4.041,3.335,50812
61,4.047,3.330,50041
62,4.054,3.325,48867
63,4.060,3.320,48043
64,4.067,3.315,46072
65,4.073,3.310,43709
66,4.080,3.305,41156
67,4.086,3.300,39657
68,4.093,3.295,37208
69,4.099,3.290,34997
70,4.106,3.285,33072
71,4.112,3.281,32037
72,4.119,3.276,30646
73,4.125,3.271,29662
74,4.132,3.266,29213
75,4.138,3.262,28818
76,4.145,3.257,28680
77,4.151,3.252,28728
78,4.158,3.248,28780
79,4.164,3.243,29134
80,4.171,3.238,29759
81,4.177,3.234,30220
82,4.184,3.229,31390
83,4.190,3.225,32931
84,4.197,3.220,34849
85,4.203,3.216,36046
86,4.210,3.211,38556
87,4.216,3.207,41372
88,4.223,3.202,42985
89,4.229,3.198,45914
90,4.236,3.193,48573
91,4.242,3.189,49784
92,4.249,3.185,51472
93,4.255,3.180,52429
94,4.262,3.176,52621
95,4.268,3.171,52677
96,4.275,3.167,52215
97,4.281,3.163,51546
98,4.288,3.159,49971
99,4.294,3.154,47704
100,4.301,3.150,45989
101,4.307,3.146,43096
102,4.314,3.142,40174
103,4.320,3.137,38374
104,4.327,3.133,35790
105,4.333,3.129,33580
106,4.340,3.125,32393
107,4.346,3.121,30885
108,4.353,3.117,30147
109,4.359,3.113,29267
110,4.366,3.109,28703
111,4.372,3.105,28482
112,4.379,3.101,28292
113,4.385,3.097,28263
114,4.392,3.093,28316
115,4.398,3.089,28542
116,4.405,3.085,28787
117,4.411,3.081,29412
118,4.418,3.077,30380
119,4.424,3.073,31139
120,4.431,3.069,32724
121,4.437,3.065,33843
122,4.444,3.061,36054
123,4.450,3.057,38616
124,4.457,3.054,40225
125,4.463,3.050,43040
126,4.470,3.046,44638
127,4.476,3.042,47094
128,4.483,3.038,49031
129,4.489,3.035,49882
130,4.496,3.031,50913
131,4.503,3.027,51325
132,4.509,3.024,51785
133,4.516,3.020,51982
134,4.522,3.016,52189
135,4.529,3.013,52279
136,4.535,3.009,52331
137,4.542,3.005,52299
138,4.548,3.002,52248
139,4.555,2.998,52115
140,4.561,2.995,51980
141,4.568,2.991,51726
142,4.574,2.988,51436
143,4.581,2.984,50898
144,4.587,2.981,50249
145,4.594,2.977,49113
146,4.600,2.974,47884
147,4.607,2.970,45945
148,4.613,2.967,43633
149,4.620,2.963,41713
150,4.626,2.960,39219
151,4.633,2.956,37426
152,4.639,2.953,35302
153,4.646,2.950,33916
154,4.652,2.946,32373
155,4.659,2.943,31429
156,4.665,2.940,30453
157,4.672,2.936,29868
158,4.678,2.933,29344
159,4.685,2.930,28993
160,4.691,2.927,28757
161,4.698,2.923,28533
162,4.704,2.920,28462
163,4.711,2.917,28314
164,4.717,2.914,28349
165,4.724,2.910,28245
166,4.730,2.907,28332
167,4.737,2.904,28242
168,4.743,2.901,28333
169,4.750,2.898,28241
170,4.756,2.895,28320
171,4.763,2.892,28232
172,4.769,2.889,28317
173,4.776,2.886,28256
174,4.782,2.882,28214
175,4.789,2.879,28356
176,4.795,2.876,28366
177,4.802,2.873,28580
178,4.808,2.870,28672
179,4.815,2.867,29039
180,4.821,2.864,29287
181,4.828,2.861,29966
182,4.834,2.859,30501
183,4.841,2.856,31688
184,4.847,2.853,32609
185,4.854,2.850,34402
186,4.860,2.847,35712
187,4.867,2.844,37146
188,4.873,2.841,39607
189,4.880,2.838,41212
190,4.886,2.836,43730
191,4.893,2.833,45221
192,4.899,2.830,47302
193,4.906,2.827,48392
194,4.912,2.824,49282
195,4.919,2.822,50251
196,4.925,2.819,50662
197,4.932,2.816,51023
198,4.938,2.813,51155
199,4.945,2.811,51215
200,4.951,2.808,51213
201,4.958,2.805,51171
202,4.964,2.803,50968
203,4.971,2.800,50794
204,4.977,2.797,50317
205,4.984,2.795,49959
206,4.990,2.792,49517
207,4.997,2.789,48456
208,5.004,2.787,47692
209,5.010,2.784,45968
210,5.017,2.782,44826
211,5.023,2.779,43587
212,5.030,2.777,41203
213,5.036,2.774,39874
214,5.043,2.772,37523
215,5.049,2.769,36319
216,5.056,2.767,35175
217,5.062,2.764,33256
218,5.069,2.762,32316
219,5.075,2.759,31447
220,5.082,2.757,30073
221,5.088,2.754,29437
222,5.095,2.752,28478
223,5.101,2.750,28077
224,5.108,2.747,27756
225,5.114,2.745,27314
226,5.121,2.743,27194
227,5.127,2.740,27133
228,5.134,2.738,27042
229,5.140,2.736,27114
230,5.147,2.733,27231
231,5.153,2.731,27436
232,5.160,2.729,27720
233,5.166,2.726,28097
234,5.173,2.724,28773
235,5.179,2.722,29441
236,5.186,2.720,30245
237,5.192,2.718,31548
238,5.199,2.715,32693
239,5.205,2.713,34459
240,5.212,2.711,35929
241,5.218,2.709,37517
242,5.225,2.707,39799
243,5.231,2.705,41526
244,5.238,2.702,43234
245,5.244,2.700,44857
246,5.251,2.698,46823
247,5.257,2.696,47951
248,5.264,2.694,48788
249,5.270,2.692,49499
250,5.277,2.690,49690
251,5.283,2.688,49678
252,5.290,2.686,49295
253,5.296,2.684,48718
254,5.303,2.682,47865
255,5.309,2.680,46049
256,5.316,2.678,44536
257,5.322,2.676,42884
258,5.329,2.674,40187
259,5.335,2.672,38475
260,5.342,2.670,36883
261,5.348,2.668,35449
262,5.355,2.666,33144
263,5.361,2.664,32061
264,5.368,2.662,31159
265,5.374,2.661,29487
266,5.381,2.659,28933
267,5.387,2.657,28535
268,5.394,2.655,28285
269,5.400,2.653,27360
270,5.407,2.651,27394
271,5.413,2.650,27561
272,5.420,2.648,27062
273,5.426,2.646,27438
274,5.433,2.644,27915
275,5.439,2.643,28487
276,5.446,2.641,28398
277,5.452,2.639,29175
278,5.459,2.637,30071
279,5.465,2.636,31098
280,5.472,2.634,31601
281,5.478,2.632,32926
282,5.485,2.631,34405
283,5.491,2.629,36029
284,5.498,2.627,37257
285,5.505,2.626,39146
286,5.511,2.624,41101
287,5.518,2.622,43063
288,5.524,2.621,44723
289,5.531,2.619,46546
290,5.537,2.618,48162
291,5.544,2.616,49528
292,5.550,2.615,50599
293,5.557,2.613,51473
294,5.563,2.611,52118
295,5.570,2.610,52578
296,5.576,2.608,52833
297,5.583,2.607,53044
298,5.589,2.605,53175
299,5.596,2.604,53244
300,5.602,2.603,53098
301,5.609,2.601,53046
302,5.615,2.600,52945
303,5.622,2.598,52801
304,5.628,2.597,52616
305,5.635,2.595,51979
306,5.641,2.594,51660
307,5.648,2.593,51300
308,5.654,2.591,50896
309,5.661,2.590,50446
310,5.667,2.589,49095
311,5.674,2.587,48449
312,5.680,2.586,47751
313,5.687,2.585,47010
314,5.693,2.583,46234
315,5.700,2.582,44164
316,5.706,2.581,43322
317,5.713,2.579,42515
318,5.719,2.578,41755
319,5.726,2.577,41058
320,5.732,2.576,38990
321,5.739,2.575,38447
322,5.745,2.573,38009
323,5.752,2.572,37679
324,5.758,2.571,37451
325,5.765,2.570,35923
326,5.771,2.569,35889
327,5.778,2.567,35935
328,5.784,2.566,36058
329,5.791,2.565,36259
330,5.797,2.564,36543
331,5.804,2.563,35744
332,5.810,2.562,36212
333,5.817,2.561,36743
334,5.823,2.560,37323
335,5.830,2.559,37934
336,5.836,2.558,38552
337,5.843,2.556,38199
338,5.849,2.555,38768
339,5.856,2.554,39239
340,5.862,2.553,39576
341,5.869,2.552,39761
342,5.875,2.551,39788
343,5.882,2.550,39161
344,5.888,2.549,38978
345,5.895,2.548,38664
346,5.901,2.548,38216
347,5.908,2.547,37631
348,5.914,2.546,36913
349,5.921,2.545,36084
350,5.927,2.544,35266
351,5.934,2.543,34405
352,5.940,2.542,33570
353,5.947,2.541,32801
354,5.953,2.540,32125
355,5.960,2.540,31554
356,5.966,2.539,31094
357,5.973,2.538,30742
358,5.979,2.537,30841
359,5.986,2.536,30701
360,5.992,2.535,30653
361,5.999,2.535,30703
362,6.006,2.534,30865
363,6.012,2.533,31156
364,6.019,2.532,31604
365,6.025,2.532,32244
366,6.032,2.531,33663
367,6.038,2.530,34805
368,6.045,2.530,36178
369,6.051,2.529,37760
370,6.058,2.528,39517
371,6.064,2.527,41398
372,6.071,2.527,43340
373,6.077,2.526,45276
374,6.084,2.525,47124
375,6.090,2.525,48802
376,6.097,2.524,50626
377,6.103,2.524,51623
378,6.110,2.523,52297
379,6.116,2.522,52682
380,6.123,2.522,52822
381,6.129,2.521,52740
382,6.136,2.521,52415
383,6.142,2.520,51800
384,6.149,2.520,50857
385,6.155,2.519,49576
386,6.162,2.519,47993
387,6.168,2.518,46172
388,6.175,2.518,43743
389,6.181,2.517,41695
390,6.188,2.517,39644
391,6.194,2.516,37650
392,6.201,2.516,35758
393,6.207,2.515,34009
394,6.214,2.515,32433
395,6.220,2.515,31046
396,6.227,2.514,29861
397,6.233,2.514,28875
398,6.240,2.513,28079
399,6.246,2.513,27463
400,6.253,2.513,27008
401,6.259,2.512,26691
402,6.266,2.512,26489
403,6.272,2.512,26378
404,6.279,2.511,26300
405,6.285,2.511,26362
406,6.292,2.511,26521
407,6.298,2.510,26799
408,6.305,2.510,27229
409,6.311,2.510,27846
410,6.318,2.510,28675
411,6.324,2.509,29731
412,6.331,2.509,31012
413,6.337,2.509,32501
414,6.344,2.509,34170
415,6.350,2.508,35986
416,6.357,2.508,37910
417,6.363,2.508,39893
418,6.370,2.508,41870
419,6.376,2.508,43760
420,6.383,2.508,45469
421,6.389,2.507,46914
422,6.396,2.507,48038
423,6.402,2.507,48831
424,6.409,2.507,49329
425,6.415,2.507,49597
426,6.422,2.507,49697
427,6.428,2.507,49670
428,6.435,2.507,49543
429,6.441,2.507,49328
430,6.448,2.507,49044
431,6.454,2.507,48719
432,6.461,2.507,48391
433,6.467,2.507,48093
434,6.474,2.507,47849
435,6.480,2.507,47667
436,6.487,2.507,47547
437,6.493,2.507,47482
438,6.500,2.507,47467
439,6.507,2.507,47502
440,6.513,2.507,47586
441,6.520,2.507,47727
442,6.526,2.507,47928
443,6.533,2.507,48187
444,6.539,2.507,48495
445,6.546,2.507,48834
446,6.552,2.507,49178
447,6.559,2.508,49502
448,6.565,2.508,49782
449,6.572,2.508,50001
450,6.578,2.508,50153
451,6.585,2.508,50239
452,6.591,2.508,50260
453,6.598,2.509,50213
454,6.604,2.509,50092
455,6.611,2.509,49886
456,6.617,2.509,49582
457,6.624,2.510,49172
458,6.630,2.510,48658
459,6.637,2.510,48046
460,6.643,2.510,47350
461,6.650,2.511,46597
462,6.656,2.511,45825
463,6.663,2.511,45090
464,6.669,2.512,41959
465,6.676,2.512,41352
466,6.682,2.512,40973
467,6.689,2.513,40837
468,6.695,2.513,40952
469,6.702,2.513,41323
470,6.708,2.514,41952
471,6.715,2.514,42822
472,6.721,2.515,43897
473,6.728,2.515,45126
474,6.734,2.515,46458
475,6.741,2.516,47842
476,6.747,2.516,49225
477,6.754,2.517,50547
478,6.760,2.517,51749
479,6.767,2.518,52786
480,6.773,2.518,52809
481,6.780,2.519,53683
482,6.786,2.519,54319
483,6.793,2.520,54736
484,6.799,2.520,54964
485,6.806,2.521,55028
486,6.812,2.521,54931
487,6.819,2.522,54644
488,6.825,2.522,54116
489,6.832,2.523,53295
490,6.838,2.524,52159
491,6.845,2.524,50732
492,6.851,2.525,49263
493,6.858,2.525,47478
494,6.864,2.526,45611
495,6.871,2.527,43731
496,6.877,2.527,41889
497,6.884,2.528,40129
498,6.890,2.529,38482
499,6.897,2.530,36983
500,6.903,2.530,35659
501,6.910,2.531,34527
502,6.916,2.532,33828
503,6.923,2.532,33109
504,6.929,2.533,32580
505,6.936,2.534,32221
506,6.942,2.535,32003
507,6.949,2.535,31906
508,6.955,2.536,31915
509,6.962,2.537,32027
510,6.968,2.538,32490
511,6.975,2.539,32862
512,6.981,2.540,33400
513,6.988,2.540,34128
514,6.994,2.541,35054
515,7.001,2.542,36167
516,7.008,2.543,37443
517,7.014,2.544,38840
518,7.021,2.545,40568
519,7.027,2.546,42003
520,7.034,2.547,43337
521,7.040,2.548,44485
522,7.047,2.548,45385
523,7.053,2.549,46015
524,7.060,2.550,46397
525,7.066,2.551,46561
526,7.073,2.552,46530
527,7.079,2.553,46323
528,7.086,2.554,45912
529,7.092,2.555,45272
530,7.099,2.556,44414
531,7.105,2.558,43158
532,7.112,2.559,42019
533,7.118,2.560,40873
534,7.125,2.561,39793
535,7.131,2.562,38843
536,7.138,2.563,38068
537,7.144,2.564,37371
538,7.151,2.565,37009
539,7.157,2.566,36810
540,7.164,2.567,36736
541,7.170,2.569,36771
542,7.177,2.570,36920
543,7.183,2.571,37213
544,7.190,2.572,37720
545,7.196,2.573,38434
546,7.203,2.575,39353
547,7.209,2.576,40449
548,7.216,2.577,41813
549,7.222,2.578,43139
550,7.229,2.579,44507
551,7.235,2.581,45853
552,7.242,2.582,47101
553,7.248,2.583,48213
554,7.255,2.585,48985
555,7.261,2.586,49488
556,7.268,2.587,49741
557,7.274,2.589,49775
558,7.281,2.590,49479
559,7.287,2.591,49008
560,7.294,2.593,48250
561,7.300,2.594,47200
562,7.307,2.595,45901
563,7.313,2.597,44177
564,7.320,2.598,42616
565,7.326,2.600,41050
566,7.333,2.601,39535
567,7.339,2.603,38116
568,7.346,2.604,36606
569,7.352,2.605,35524
570,7.359,2.607,34654
571,7.365,2.608,34009
572,7.372,2.610,33496
573,7.378,2.611,33283
574,7.385,2.613,33207
575,7.391,2.615,33245
576,7.398,2.616,33440
577,7.404,2.618,33786
578,7.411,2.619,34319
579,7.417,2.621,35064
580,7.424,2.622,36315
581,7.430,2.624,37508
582,7.437,2.626,38828
583,7.443,2.627,40221
584,7.450,2.629,42073
585,7.456,2.631,43407
586,7.463,2.632,44582
587,7.469,2.634,45528
588,7.476,2.636,46545
589,7.482,2.637,46908
590,7.489,2.639,47026
591,7.495,2.641,46918
592,7.502,2.643,46730
593,7.509,2.644,46055
594,7.515,2.646,45095
595,7.522,2.648,43878
596,7.528,2.650,42404
597,7.535,2.651,40867
598,7.541,2.653,39322
599,7.548,2.655,37683
600,7.554,2.657,36269
601,7.561,2.659,34963
602,7.567,2.661,33784
603,7.574,2.662,32613
604,7.580,2.664,31748
605,7.587,2.666,31055
606,7.593,2.668,30427
607,7.600,2.670,30071
608,7.606,2.672,29838
609,7.613,2.674,29701
610,7.619,2.676,29641
611,7.626,2.678,29680
612,7.632,2.680,29791
613,7.639,2.682,30117
614,7.645,2.684,30465
615,7.652,2.686,30928
616,7.658,2.688,31925
617,7.665,2.690,32733
618,7.671,2.692,33653
619,7.678,2.694,35453
620,7.684,2.696,36682
621,7.691,2.698,38003
622,7.697,2.700,40479
623,7.704,2.702,42035
624,7.710,2.705,43630
625,7.717,2.707,45226
626,7.723,2.709,47884
627,7.730,2.711,49290
628,7.736,2.713,50550
629,7.743,2.715,52292
630,7.749,2.718,53039
631,7.756,2.720,53850
632,7.762,2.722,54119
633,7.769,2.724,54257
634,7.775,2.726,54195
635,7.782,2.729,53978
636,7.788,2.731,53557
637,7.795,2.733,52417
638,7.801,2.736,51292
639,7.808,2.738,49880
640,7.814,2.740,47370
641,7.821,2.743,45471
642,7.827,2.745,43512
643,7.834,2.747,40653
644,7.840,2.750,38780
645,7.847,2.752,37019
646,7.853,2.754,34693
647,7.860,2.757,33263
648,7.866,2.759,31479
649,7.873,2.762,30423
650,7.879,2.764,29535
651,7.886,2.767,28535
652,7.892,2.769,28041
653,7.899,2.772,27693
654,7.905,2.774,27362
655,7.912,2.777,27261
656,7.918,2.779,27192
657,7.925,2.782,27253
658,7.931,2.784,27404
659,7.938,2.787,27723
660,7.944,2.789,28165
661,7.951,2.792,28931
662,7.957,2.795,29777
663,7.964,2.797,30828
664,7.970,2.800,32378
665,7.977,2.803,33887
666,7.983,2.805,36002
667,7.990,2.808,37941
668,7.996,2.811,40029
669,8.003,2.813,42681
670,8.010,2.816,44840
671,8.016,2.819,47301
672,8.023,2.822,49099
673,8.029,2.824,50884
674,8.036,2.827,52049
675,8.042,2.830,52937
676,8.049,2.833,53631
677,8.055,2.836,54063
678,8.062,2.838,54363
679,8.068,2.841,54581
680,8.075,2.844,54698
681,8.081,2.847,54790
682,8.088,2.850,54827
683,8.094,2.853,54709
684,8.101,2.856,54599
685,8.107,2.859,54242
686,8.114,2.861,53880
687,8.120,2.864,53023
688,8.127,2.867,52147
689,8.133,2.870,50425
690,8.140,2.873,48883
691,8.146,2.876,46333
692,8.153,2.879,44343
693,8.159,2.882,41403
694,8.166,2.886,39331
695,8.172,2.889,37322
696,8.179,2.892,34653
697,8.185,2.895,32964
698,8.192,2.898,30864
699,8.198,2.901,29611
700,8.205,2.904,28154
701,8.211,2.907,27324
702,8.218,2.910,26432
703,8.224,2.914,25960
704,8.231,2.917,25516
705,8.237,2.920,25312
706,8.244,2.923,25182
707,8.250,2.927,25156
708,8.257,2.930,25254
709,8.263,2.933,25391
710,8.270,2.936,25799
711,8.276,2.940,26206
712,8.283,2.943,27123
713,8.289,2.946,27927
714,8.296,2.950,29467
715,8.302,2.953,30721
716,8.309,2.956,32916
717,8.315,2.960,34655
718,8.322,2.963,37517
719,8.328,2.967,39678
720,8.335,2.970,42953
721,8.341,2.974,46176
722,8.348,2.977,48226
723,8.354,2.981,50717
724,8.361,2.984,52037
725,8.367,2.988,53302
726,8.374,2.991,53816
727,8.380,2.995,54135
728,8.387,2.998,54197
729,8.393,3.002,54057
730,8.400,3.005,53879
731,8.406,3.009,53404
732,8.413,3.013,52802
733,8.419,3.016,52453
734,8.426,3.020,51938
735,8.432,3.024,51738
736,8.439,3.027,51482
737,8.445,3.031,51446
738,8.452,3.035,51406
739,8.458,3.038,51498
740,8.465,3.042,51657
741,8.471,3.046,51940
742,8.478,3.050,52223
743,8.484,3.054,52564
744,8.491,3.057,52805
745,8.497,3.061,52945
746,8.504,3.065,52868
747,8.511,3.069,52764
748,8.517,3.073,52083
749,8.524,3.077,51468
750,8.530,3.081,49711
751,8.537,3.085,47256
752,8.543,3.089,45627
753,8.550,3.093,42545
754,8.556,3.097,40774
755,8.563,3.101,37787
756,8.569,3.105,35089
757,8.576,3.109,33758
758,8.582,3.113,31665
759,8.589,3.117,29984
760,8.595,3.121,29286
761,8.602,3.125,28283
762,8.608,3.129,27962
763,8.615,3.133,27534
764,8.621,3.137,27357
765,8.628,3.142,27395
766,8.634,3.146,27490
767,8.641,3.150,27808
768,8.647,3.154,28177
769,8.654,3.159,29030
770,8.660,3.163,30329
771,8.667,3.167,31285
772,8.673,3.171,33279
773,8.680,3.176,35689
774,8.686,3.180,37209
775,8.693,3.185,40166
776,8.699,3.189,43375
777,8.706,3.193,45246
778,8.712,3.198,48491
779,8.719,3.202,51338
780,8.725,3.207,52648
781,8.732,3.211,54242
782,8.738,3.216,54954
783,8.745,3.220,55029
784,8.751,3.225,54540
785,8.758,3.229,53225
786,8.764,3.234,51071
787,8.771,3.238,49552
788,8.777,3.243,46548
789,8.784,3.248,43442
790,8.790,3.252,41761
791,8.797,3.257,38993
792,8.803,3.262,36620
793,8.810,3.266,34722
794,8.816,3.271,33914
795,8.823,3.276,32819
796,8.829,3.281,32184
797,8.836,3.285,32021
798,8.842,3.290,31879
799,8.849,3.295,31955
800,8.855,3.300,32282
801,8.862,3.305,32661
802,8.868,3.310,33600
803,8.875,3.315,35023
804,8.881,3.320,36932
805,8.888,3.325,38294
806,8.894,3.330,40832
807,8.901,3.335,43609
808,8.907,3.340,46474
809,8.914,3.345,49223
810,8.920,3.350,50763
811,8.927,3.355,52815
812,8.933,3.360,54171
813,8.940,3.365,54837
814,8.946,3.370,55001
815,8.953,3.375,54769
816,8.959,3.381,53971
817,8.966,3.386,52528
818,8.972,3.391,50472
819,8.979,3.396,48719
820,8.985,3.402,45979
821,8.992,3.407,43156
822,8.998,3.412,40388
823,9.005,3.418,37764
824,9.012,3.423,35359
825,9.018,3.428,33576
826,9.025,3.434,31672
827,9.031,3.439,30108
828,9.038,3.445,28886
829,9.044,3.450,27990
830,9.051,3.456,27388
831,9.057,3.461,26940
832,9.064,3.467,26738
833,9.070,3.473,26703
834,9.077,3.478,26816
835,9.083,3.484,27088
836,9.090,3.490,27550
837,9.096,3.495,28251
838,9.103,3.501,29262
839,9.109,3.507,30010
840,9.116,3.512,31697
841,9.122,3.518,33852
842,9.129,3.524,36466
843,9.135,3.530,39464
844,9.142,3.536,42690
845,9.148,3.542,45915
846,9.155,3.548,48864
847,9.161,3.554,51284
848,9.168,3.560,53034
849,9.174,3.566,54147
850,9.181,3.572,54704
851,9.187,3.578,55149
852,9.194,3.584,55388
853,9.200,3.590,55485
854,9.207,3.596,55467
855,9.213,3.602,55345
856,9.220,3.608,55111
857,9.226,3.615,54725
858,9.233,3.621,54096
859,9.239,3.627,53066
860,9.246,3.633,51471
861,9.252,3.640,49252
862,9.259,3.646,46502
863,9.265,3.653,43436
864,9.272,3.659,40295
865,9.278,3.665,37287
866,9.285,3.672,34570
867,9.282,3.670,35824
868,9.289,3.676,33299
869,9.295,3.683,31206
870,9.302,3.689,29576
871,9.308,3.696,28384
872,9.315,3.702,27573
873,9.321,3.709,27073
874,9.327,3.715,26808
875,9.334,3.722,26718
876,9.340,3.728,26770
877,9.346,3.735,26966
878,9.352,3.741,27352
879,9.359,3.748,28012
880,9.365,3.754,29033
881,9.371,3.761,30483
882,9.377,3.767,32402
883,9.383,3.774,34807
884,9.389,3.780,37657
885,9.395,3.787,39193
886,9.401,3.793,42460
887,9.407,3.800,45685
888,9.413,3.806,48582
889,9.419,3.813,50904
890,9.425,3.819,52536
891,9.431,3.826,53541
892,9.437,3.832,54115
893,9.442,3.839,54448
894,9.448,3.845,54650
895,9.454,3.852,54725
896,9.460,3.858,54818
897,9.465,3.865,54888
898,9.471,3.871,54964
899,9.477,3.878,55044
900,9.482,3.884,55114
901,9.488,3.891,55154
902,9.494,3.897,55136
903,9.499,3.904,55177
904,9.505,3.910,54988
905,9.510,3.917,54531
906,9.516,3.923,53629
